trial, person, eye, t0, x, y
56,0,R,57,595.3,471.1
56,0,R,225,774.8,777.0
56,0,R,349,783.2,785.5
56,0,R,1641,918.1,323.1
56,0,X,1661,790.0,835.0
57,0,R,2,945.3,241.4
57,0,R,190,260.7,103.9
57,0,R,330,215.5,78.4
57,0,R,410,210.4,95.7
57,0,R,482,217.3,80.4
57,0,R,782,229.2,91.0
57,0,X,1450,220.0,130.0
58,0,R,239,973.2,457.8
58,0,R,447,1132.2,739.5
58,0,R,563,1119.4,666.4
58,0,R,683,1121.1,662.6
58,0,X,1487,1080.0,660.0
59,0,R,-111,995.1,551.6
59,0,R,177,1604.9,710.3
59,0,R,305,1646.8,725.9
59,0,R,1109,1636.1,725.4
59,0,R,1781,1064.5,285.0
59,0,X,1740,1580.0,710.0
60,0,R,-120,801.0,194.9
60,0,R,168,516.3,425.1
60,0,R,296,476.3,431.4
60,0,X,1093,450.0,450.0
61,0,R,-116,969.4,309.1
61,0,R,160,845.1,776.2
61,0,R,280,818.3,816.1
61,0,X,1169,790.0,835.0
62,0,R,-123,1082.2,280.0
62,0,R,181,285.5,202.3
62,0,R,285,236.9,118.0
62,0,X,1362,220.0,130.0
63,0,R,-114,999.1,467.4
63,0,R,170,1494.6,675.2
63,0,R,278,1616.6,698.2
63,0,X,915,1580.0,710.0
64,0,R,-111,835.7,307.3
64,0,R,209,1648.7,171.8
64,0,R,337,1685.4,96.9
64,0,X,926,1630.0,135.0
65,0,R,-116,1029.4,286.3
65,0,R,296,1380.1,1025.7
65,0,R,452,1414.5,1039.5
65,0,X,1185,1370.0,1060.0
66,0,R,-125,932.7,339.1
66,0,R,155,1308.4,317.0
66,0,R,295,1335.7,277.9
66,0,X,1232,1290.0,310.0
67,0,R,-110,987.7,389.0
67,0,R,194,398.1,892.3
67,0,R,330,406.6,912.5
67,0,X,1111,395.0,925.0
68,0,R,-115,894.0,266.4
68,0,R,185,1110.3,581.2
68,0,R,313,1093.8,618.9
68,0,R,613,1121.6,632.0
68,0,R,805,1119.9,630.0
68,0,X,1122,1080.0,660.0
69,0,R,-8,811.4,319.2
69,0,R,160,903.9,207.6
69,0,R,332,897.9,182.8
69,0,X,1181,870.0,235.0
70,0,R,-112,952.8,360.1
70,0,R,196,1328.1,966.1
70,0,R,312,1407.9,1020.2
70,0,R,656,1411.1,1027.9
70,0,R,1160,1416.0,1018.1
70,0,X,1349,1370.0,1060.0
71,0,R,-108,920.3,309.1
71,0,R,164,889.1,183.3
71,0,X,967,870.0,235.0
72,0,R,8,1144.7,536.2
72,0,R,244,385.1,905.9
72,0,R,380,405.6,925.1
72,0,R,612,398.0,914.8
72,0,R,824,388.6,919.8
72,0,R,956,402.8,915.3
72,0,X,1399,395.0,925.0
73,0,R,-108,990.0,278.8
73,0,R,204,444.1,431.9
73,0,R,364,469.5,427.7
73,0,R,756,455.1,438.5
73,0,X,1239,450.0,450.0
74,0,R,-118,696.1,298.8
74,0,R,190,1062.6,605.3
74,0,R,314,1128.0,622.3
74,0,X,1413,1080.0,660.0
75,0,R,-111,799.5,229.0
75,0,R,117,237.6,116.8
75,0,R,261,742.5,792.9
75,0,R,381,791.1,790.6
75,0,R,709,816.7,804.2
75,0,R,853,811.9,794.5
75,0,R,1037,793.2,802.4
75,0,R,1269,803.1,788.5
75,0,R,2605,826.0,768.5
75,0,R,2741,798.0,758.6
75,0,X,2692,790.0,835.0
76,0,R,-117,948.8,198.7
76,0,R,179,1536.9,606.6
76,0,R,295,1614.6,672.5
76,0,R,467,1625.7,659.6
76,0,R,915,1598.9,640.0
76,0,R,1035,1621.8,631.8
76,0,X,1390,1580.0,710.0
77,0,R,-117,864.8,189.4
77,0,R,179,242.3,98.0
77,0,R,291,231.5,28.5
77,0,X,1422,220.0,130.0
78,0,R,-121,1061.4,288.8
78,0,R,151,1328.8,264.9
78,0,R,299,1337.6,212.6
78,0,X,1124,1290.0,310.0
79,0,R,-116,944.4,223.2
79,0,R,224,1643.9,149.7
79,0,R,324,1677.3,58.7
79,0,X,967,1630.0,135.0
80,0,R,-124,887.2,286.2
80,0,R,156,1359.5,294.4
80,0,R,292,1336.7,244.4
80,0,R,1832,1337.6,278.9
80,0,X,1783,1290.0,310.0
81,0,R,-124,917.8,377.4
81,0,R,200,253.4,134.6
81,0,R,316,234.9,79.7
81,0,R,972,225.5,62.7
81,0,X,1263,220.0,130.0
82,0,R,-111,1009.5,485.5
82,0,R,181,1624.7,125.8
82,0,R,301,1673.5,65.2
82,0,R,1373,954.3,254.6
82,0,X,1316,1630.0,135.0
83,0,R,-108,871.8,333.5
83,0,R,236,345.8,884.5
83,0,R,360,394.8,881.3
83,0,X,1055,395.0,925.0
84,0,R,-119,1016.2,229.6
84,0,R,225,1327.7,1038.5
84,0,R,329,1404.5,1007.3
84,0,R,537,1397.7,1003.7
84,0,R,1053,808.3,369.0
84,0,X,997,1370.0,1060.0
85,0,R,-111,841.4,275.7
85,0,R,121,362.8,294.3
85,0,R,281,1525.8,697.7
85,0,R,401,1629.7,672.3
85,0,X,1221,1580.0,710.0
86,0,R,-121,864.0,245.8
86,0,R,159,883.8,180.2
86,0,X,883,870.0,235.0
87,0,R,-108,900.3,175.6
87,0,R,208,463.8,416.3
